Location,Latitude,Longitude
Laguna Beach Outer,33.53012,-117.78051
Laguna Beach Middle,33.53128,-117.78057
Laguna Beach Inner,33.53149,-117.77965
Dana Point Outer,33.46827,-117.72537
Dana Point Middle,33.47023,-117.72205
Dana Point Inner,33.46043,-117.71784
PVR 7A ARM,33.7204,-118.3424
PVR 7B ARM,33.72019,-118.34245
PVR 6D ARM,33.72051,-118.34391
Old 18th Outer,33.72218,-118.3444
PVR 6C ARM,33.71998,-118.34387
PVR 6A ARM,33.72102,-118.34388
Old 18th Deep,33.72077,-118.34585
Burial Grounds Middle,33.72463,-118.34751
Burial Grounds Deep,33.72225,-118.34844
Burial Grounds Outer,33.72339,-118.3477
Cape Point Deep,33.71849,-118.34147
SCLI - Eel Point Deep,32.9038,-118.53961
SCLI - Eel Point Outer,32.90391,-118.53949
SCLI - North Range Deep,32.98677,-118.58631
SCLI - North Range Outer,32.98636,-118.58483
SCLI - North Range Middle,32.98731,-118.58275
SCLI - North Range Inner,32.98771,-118.58071
Nicholas Canyon East Outer,34.03737,-118.91167
Nicholas Canyon East Middle,34.03813,-118.91176
Leo Carrillo Middle,34.04241,-118.93355
Leo Carrillo Inner,34.04274,-118.93381
Nicholas Canyon West Middle,34.04119,-118.92273
Nicholas Canyon West Inner,34.04292,-118.92268
PVR 5C ARM,33.72046,-118.34526
PVR 5B ARM,33.72099,-118.3454
PVR 5A ARM,33.72157,-118.34582
Long Point East Inner,33.73594,-118.40048
PVR 4B ARM,33.72156,-118.3467833
PVR 4D ARM,33.72197,-118.3472053
PVR 4C ARM,33.7211,-118.3467384
Long Point West Inner,33.73722,-118.40324
Hawthorne Reef Deep,33.74682,-118.42034
Hawthorne Reef Outer,33.74704,-118.41763
Hawthorne Reef Middle,33.74698,-118.41649
Hawthorne Reef Inner,33.74721,-118.41535
El Sol Outer,34.03685,-118.907314
El Sol Middle,34.03788,-118.907447
El Pescador Middle,34.03587,-118.89483
La Piedra Middle,34.03423,-118.886387
El Matador Inner,34.03612,-118.879848
Lechuza Inner,34.03347,-118.862359
Point Dume Outer,33.99824,-118.8073974
Point Dume Middle,33.99866,-118.8070374
Point Dume Inner,33.99876,-118.8068691
Little Dume West Outer,34.00383,-118.787005
Little Dume West Middle,34.00558,-118.789842
Little Dume West Inner,34.00533,-118.792379
SCAI - Iron Bound Cove Outer,33.44753,-118.5755079
SCAI - Iron Bound Cove Middle,33.44765,-118.57549
SCAI - Iron Bound Cove Inner,33.44777,-118.57548
SCAI - Intake Pipes Deep,33.44696,-118.48504
SCAI - Intake Pipes Middle,33.44712,-118.48535
SCAI - Intake Pipes Inner,33.44696,-118.48504
PVR 2C ARM,33.72254,-118.3491
PVR 2B ARM,33.72278,-118.34978
PVR 2A ARM,33.7234,-118.34996
Long Point West Middle,33.73732,-118.4034
Whites Point Inner,33.71574,-118.32253
Whites Point Middle,33.7145,-118.32242
Whites Point Outer,33.71385,-118.32404
Point Fermin Inner,33.70652,-118.29738
Point Fermin Middle,33.70565,-118.298
Point Fermin Outer,33.70471,-118.29859
SCAI - Casino Point Inner,33.349075,-118.324842
SCAI - Casino Point Middle,33.349156,-118.324767
SCAI - Casino Point Outer,33.349247,-118.32469
SCAI - Casino Point Deep,33.349367,-118.32459
Santa Monica Jetty - Interior,34.007521,-118.50403
